theme,type,grammar_focus,text
ලිවීම,clean_sentence,general,අපි ආරාධනා පත්‍රයක් සකස් කළෙමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අතීත_කාලය,අපි පුස්තකාලයට ගියෙමු.
පාසල,clean_sentence,general,මම මගේ පාසල් බෑගය පිළිවෙළට සකස් කරමි.
ප්‍රජාව,clean_sentence,general,අපේ ගමේ උත්සවයට බොහෝ දෙනෙක් සහභාගි වූහ.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_බහුවචන,ගැහැනු ළමයි පාඩම් කරති.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පාසලේදී අපි චිත්‍ර අඳිමු.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,වත්තේදී අපි පොත් කියවමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_කර්තෘ_ක්‍රියා_සම්බන්ධය,ළමයි පොත් කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,ක්‍රීඩා පිටියේදී මම සටහනක් ලියමි.
ලිවීම,clean_sentence,general,මම මගේ අනාගත බලාපොරොත්තුව ගැන වාක්‍ය පහක් ලියමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_කර්තෘ_ක්‍රියා_සම්බන්ධය,ගස වැඩෙයි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පාසලේදී අපි ගස් රැකබලා ගනිමු.
පරිසරය,clean_sentence,general,අපේ ගමේ මාර්ගය දෙපස ගස් තිබේ.
විනෝදය_කලාව,clean_sentence,general,අපි විවේක වේලාවේදී ක්‍රීඩා කරමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අතීත_කාලය,මිතුරෝ ගීයක් ගැයූහ.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_සර්වනාම_වාක්‍ය,එම කතාව ඉතා රසවත්ය.
පරිසරය,clean_sentence,general,අපි ගසක් සිටුවා එයට ජලය දැමුවෙමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අනාගත_අර්ථය,මිතුරෝ හෙට ක්‍රීඩා කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,ක්‍රීඩා පිටියේදී මම ගීයක් ගයමි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,නිවසේදී අපි ගී ගයමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පාසලේදී මම පොත කියවමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,වත්තේදී මම පන්ති කාමරය පිරිසිදු කරමි.
සෞඛ්‍යය,clean_sentence,general,ප්‍රමාණවත් නින්දක් ලබා ගැනීම ශරීරයට වැදගත්ය.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අනාගත_අර්ථය,මම අද සවස පාඩම් කරමි.
භාෂා භාවිතය,clean_sentence,විධාන_වාක්‍ය,අත් සෝදා ආහාර ගන්න.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පුස්තකාලයේදී අපි ගී ගයමු.
ප්‍රජාව,clean_sentence,general,ගමේ පුස්තකාලය ළමයින්ට ප්‍රයෝජනවත්ය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,ක්‍රීඩා පිටියේදී මම චිත්‍රයක් අඳිමි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,නිවසේදී අපි එකිනෙකාට උදව් කරමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අනාගත_අර්ථය,කවිඳු හෙට චිත්‍රයක් අඳියි.
ප්‍රජාව,clean_context,වාක්‍ය සම්බන්ධ කිරීම,අපේ ගමේ පාරේ කසළ තිබුණි. අපි එකතු වී පාර පිරිසිදු කළෙමු.
සෞඛ්‍යය,clean_sentence,general,මම උදෑසන දත් මදිමි.
විනෝදය_කලාව,clean_sentence,general,කවියක් කියවීමෙන් මගේ සිත සතුටු වේ.
පරිසරය,clean_context,වාක්‍ය සම්බන්ධ කිරීම,අපේ පන්තිය වත්තේ ගසක් සිටුවීය. අපි සෑම දිනකම එයට ජලය දමමු.
පවුල,clean_sentence,general,අපි සවස එකට කතා කරමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,නිවසේදී මම මිතුරාට උදව් කරමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_බහුවචන,අපි කියවති.
පරිසරය,clean_sentence,general,වැසි වැටුණු පසු වත්තේ පැළ නැවුම් විය.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,වත්තේදී අපි ගස් රැකබලා ගනිමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අතීත_කාලය,අමා කතාවක් කියෙව්වාය.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_සර්වනාම_වාක්‍ය,ඔවුහු පන්ති කාමරය පිරිසිදු කළහ.
