what students written,remarks,ground_truth
උපදෙස් කියවා ප්‍රතිචාර දක්වමු,Punctuation,උපදෙස් කියවා ප්‍රතිචාර දක්වමු.
පහත සඳහන් වාක්‍යවලට සුදුසු විරාම,correct,පහත සඳහන් වාක්‍යවලට සුදුසු විරාම
ලකුනු යොදා වාක්‍ය නැවත ලියන්න,Retroflex,ලකුණු යොදා වාක්‍ය නැවත ලියන්න.
. මම පාසල් යමි,Punctuation,මම පාසල් යමි.
පුතේ මෙහාට එන්න යැයි,Punctuation,"""පුතේ මෙහාට එන්න"" යැයි,"
"යම් අවස්ථාවක්, සිද්ධියක් දෙස බලා සිට",Punctuation,"යම් අවස්ථාවක්, සිද්ධියක් දෙස බලා සිට,"
පිළිබඳ ව විස්තර කර දීම විස්තර කථන,Punctuation,"පිළිබඳව විස්තර කර දීම, විස්තර කථන"
"උදා: ක්‍රිකට්, ෆුට්බෝල් වැනි ක්‍රීඩා පැවැත්වෙන",correct,"උදා: ක්‍රිකට්, ෆුට්බෝල් වැනි ක්‍රීඩා පැවැත්වෙන"
* පාසලේ පැවැත්වෙන ක්‍රීඩා උත්සවයක්,correct,* පාසලේ පැවැත්වෙන ක්‍රීඩා උත්සවයක්
* ගොඩනැගිල්ලක් විවෘත කිරීමක්,correct,* ගොඩනැගිල්ලක් විවෘත කිරීම
* පොළක,Vowel/diacritic,* පොළක්
* පෙරහැරක් . . . .ආද,Vowel/diacritic,* පෙරහැරක්... ආදී
1 පරිප්පු,correct,1 පරිප්පු
2 සාක්කුව,correct,2 සාක්කුව
3 ආභරණ,correct,3 ආභරණ
4 අරුතිනි,correct,4 අරුතිනි
5 අනුසාරයෙනි,correct,5 අනුසාරයෙනි
6 දකුණු පළාත්,correct,6 දකුණු පළාත්
7 පියාසර,correct,7 පියාසර
8 අවුළුවන්ට,correct,8 අවුළුවන්ට
9 ව්‍යහාරයේ,correct,9 ව්‍යවහාරයේ
10 අවස්ථා,correct,10 අවස්ථා
නෙළුම් මල් - සියපත්,correct,නෙළුම් මල් - සියපත්
නෙළුම් මල් - සියපත්,correct,නෙළුම් මල් - සියපත්
පැමිණීම - නොපැමිණීම,correct,පැමිණීම - නොපැමිණීම
අවශ්‍ය - අනවශ්‍ය,correct,අවශ්‍ය - අනවශ්‍ය
පුහුණු - නුපුහුණු,correct,පුහුණු - නුපුහුණු
නිවැරදි - වැරදි,correct,නිවැරදි - වැරදි
අලුත් - පරණ,correct,අලුත් - පරණ
ඇඟ බේරගන්න - වගකීමෙන් බේරීම.,correct,ඇඟ බේරගන්න - වගකීමෙන් බේරීම.
හීන් දාඩිය දැම්මා - දැඩි සේ බියට පත් වීම.,correct,හීන් දාඩිය දැම්මා - දැඩි සේ බියට පත් වීම.
අහස් මාලිග - ඉටු නොවන සිහින මැවීම .,correct,අහස් මාලිග - ඉටු නොවන සිහින මැවීම.
අබමල් රේණුවක් - ඉතාම කුඩා ප්‍රමාණ්‍යක් .,correct,අබමල් රේණුවක් - ඉතාම කුඩා ප්‍රමාණයක්.
මුරුංගා අත්තේ තියනවා - රවටනු පිණිස,correct,මුරුංගා අත්තේ තියනවා - රවටනු පිණිස
කර උස්සා අප දෙස බලා සිටින මිනිසුන් මෙන්,correct,කර උස්සා අප දෙස බලා සිටින මිනිසුන් මෙන්
හෙලිකොප්ටර් යානා පරිද්දෙනි .,correct,හෙලිකොප්ටර් යානා පරිද්දෙනි.
