child_id,annotation_id,spacing_std,baseline_std,local_baseline_drift,avg_slant,avg_size_variation,curve_smoothness,loop_roundness,stroke_continuity,stroke_thickness_consistency,density_distribution,character_shape_consistency,character_proportion_variation,upper_lower_balance,character_spacing_variation,word_spacing_variation,contrast_score,blur_score,ink_density,text_visibility_score,word_detection_ratio,spacing_score,alignment_score,slant_score,size_score,curve_score,loop_score,continuity_score,thickness_score,density_score,shape_score,proportion_score,balance_score,character_spacing_score,contrast_quality_score,blur_quality_score,ink_density_score,text_visibility_quality_score,word_detection_score,overall_score,label,teacher_spacing_rating,teacher_alignment_rating,teacher_size_rating,teacher_slant_rating,teacher_curve_rating,teacher_loop_rating,teacher_stroke_continuity_rating,teacher_shape_rating,teacher_proportion_rating,teacher_structural_balance_rating,teacher_character_spacing_rating,teacher_stroke_thickness_rating,teacher_density_rating,teacher_legibility_rating,teacher_overall_rating,teacher_overall_label,teacher_vs_system_score_difference
1,SIN-ANN-0001,0.441601,0.365797,57.797828,5.23204,1.260287,0.163117,0.406423,0.59799,0.649231,708.454897,0.623292,0.42269,0.500256,0.440647,0.411167,17.636616,354.977781,20.749477,190.258975,18.752811,3,2,5,1,1,2,3,2,1,3,2,2,2,1,5,5,5,5,2.7,Average,3,3,3,4,2,4,3,3,3,2,3,3,3,2,3.13,Average,0.43
2,SIN-ANN-0002,0.744884,0.529016,84.906789,13.700147,1.196327,0.137097,0.263982,0.442574,0.754576,787.924439,0.385309,0.364258,0.278184,0.488094,0.751207,39.757814,30,4.452663,171.082278,11.655157,1,1,4,1,1,1,2,1,1,1,3,1,2,3,1,5,5,5,2.02,Below Average,1,2,2,1,3,2,3,2,2,1,2,2,2,2,1.77,Below Average,-0.25
3,SIN-ANN-0003,0.580557,0.271866,76.490175,10.732798,0.911644,0.122156,0.28145,0.721844,0.710476,662.61192,0.736118,0.30027,0.923654,0.337529,0.549419,13.686345,36.15111,7.871703,13.755342,2.867616,2,3,5,1,1,1,4,1,1,4,3,5,3,1,1,5,1,4,2.59,Below Average,2,4,3,3,3,3,4,4,4,5,4,2,5,3,3.5,Good,0.91
4,SIN-ANN-0004,0.118706,0.344278,36.3026,12.748254,0.11401,0.062785,0.592022,0.801149,0.434837,641.59323,0.931854,0.107578,0.802847,0.32089,0.139925,11.203384,200.467747,22.596166,117.3719,6.203256,5,2,4,5,3,3,4,3,1,5,5,4,3,1,5,5,5,5,3.79,Good,5,4,5,5,5,5,5,5,5,5,4,4,4,5,4.8,Very Good,1.01
5,SIN-ANN-0005,0.597825,0.54101,65.833938,9.424287,1.11026,0.120284,0.225475,0.528411,0.496825,1023.293128,0.697518,0.583196,0.466465,0.228189,0.552563,32.572244,608.981522,24.752443,118.04187,23.108301,2,1,5,1,1,1,2,3,1,3,1,2,4,2,5,5,5,5,2.57,Below Average,2,3,3,3,3,2,3,3,2,3,4,3,3,2,2.8,Average,0.23
6,SIN-ANN-0006,0.582087,0.476194,99.107673,15.698365,1.429529,0.106242,0.418529,0.582816,0.524847,626.031346,0.348692,0.512428,0.799861,0.464926,0.603861,22.138065,354.321038,34.680228,85.159633,8.187684,2,1,4,1,1,2,3,2,1,1,2,4,2,1,5,5,5,5,2.44,Below Average,2,3,2,1,3,3,3,2,2,4,4,4,3,3,2.51,Average,0.07
7,SIN-ANN-0007,0.130916,0.095667,46.235341,5.21287,0.362699,0.109204,0.570422,0.98,0.497228,394.37297,0.92965,0.127441,0.959086,0.216646,0.150348,35.469467,54.068624,26.369698,84.610095,18.208589,5,5,5,3,1,3,5,3,2,5,5,5,4,3,2,5,4,5,3.98,Good,5,5,5,4,4,5,5,5,5,5,5,4,5,5,4.62,Very Good,0.64
8,SIN-ANN-0008,0.435993,0.282311,61.694551,3.220381,1.263529,0.179767,0.259334,0.640689,0.648023,799.675661,0.477888,0.527627,0.419611,0.340162,0.506982,25.457012,494.817906,38.555929,131.897974,0.2,3,3,5,1,1,1,3,2,1,2,1,2,3,2,5,5,5,1,2.57,Below Average,2,3,3,3,2,2,3,2,2,1,3,3,3,2,2.49,Below Average,-0.08
9,SIN-ANN-0009,0.431313,0.186058,71.973556,12.727173,1.14911,0.113415,0.436829,0.537263,0.541678,746.188148,0.90869,0.434163,0.695614,0.359088,0.474925,23.438416,261.653164,13.058856,101.024867,24.399805,3,3,4,1,1,2,2,2,1,5,2,3,3,1,5,5,5,5,2.85,Average,3,4,3,3,4,3,3,4,3,4,3,3,4,3,3.49,Average,0.64
10,SIN-ANN-0010,0.781155,0.633988,72.537113,13.007881,1.161674,0.159539,0.188036,0.403665,0.638355,838.928058,0.519865,0.584059,0.262313,0.689601,0.794715,27.870089,278.146241,2,79.044108,20.33713,1,1,4,1,1,1,2,2,1,2,1,1,1,2,5,3,4,5,1.97,Below Average,2,2,2,2,1,2,2,3,3,1,1,2,2,2,1.98,Below Average,0.01
