student_id,sentence_id,audio_file,mel_file,ground_truth,transcript,wer,cer,fluency_label,fluency_label_wer,length_class,duration_s,speech_duration_s,hesitation_count,mean_pause_s,zcr,energy_variance,chars_per_sec
S001,001,S001_001.wav,S001_001_mel.npy,යාළුවෝ හැමදෙනාම නිදහස් උත්සවය බැලුවා,යාළුවෝ හැමදෙනාම නිදාස් උත්සවය බැලුවා,0.2,0.0312,0,1,short,3.541,3.328,0,0.0,0.0808,0.003633,9.615
S001,002,S001_002.wav,S001_002_mel.npy,කවිඳු යාළුවොත් එක්ක මිදුලේ සෙල්ලම් කරමින් සිටියා,කවිඳු යාලුවත් එක්ක මිදුලේ සෙල්ලම් කරමින් සිටියා.,0.1429,0.0238,0,1,long,3.925,3.456,0,0.0,0.0849,0.003386,12.153
S001,003,S001_003.wav,S001_003_mel.npy,අපේ රටේ නිදහස් උත්සවය,අපේ රටේ නිදහස් උත්සවය,0.0,0.0,0,0,short,2.816,2.176,1,0.352,0.106,0.00408,8.272
S001,004,S001_004.wav,S001_004_mel.npy,මම කෝෂය ඇතුලේ සති දෙකක් විතර හිටියා,මම කෝෂයේ ඇතුළ සති දෙකක් විතර හිටියා.,0.2857,0.069,0,1,long,3.925,3.392,1,0.16,0.0996,0.004475,8.55
S001,005,S001_005.wav,S001_005_mel.npy,පොත් කියවීමෙන් මිනිසා සම්පූර්ණ වේ,පොත් කියවීමෙන් මිනිසා සම්පූර්ණ වේ.,0.0,0.0,0,0,short,3.648,3.264,1,0.16,0.0768,0.003699,8.885
S001,006,S001_006.wav,S001_006_mel.npy,මුහුද හරිම ලස්සනයි,මුහුද හරිම ලස්සු නැයි,0.6667,0.125,1,2,short,2.005,1.568,0,0.0,0.0844,0.00311,10.204
S001,007,S001_007.wav,S001_007_mel.npy,හැමෝම එකට අත් අල්ලා ගන්න,හැමෝම එකට අත් අල්ලා ගන්න,0.0,0.0,0,0,short,3.2,2.848,1,0.224,0.0792,0.003848,7.022
S001,008,S001_008.wav,S001_008_mel.npy,මම එහෙනම් නාගෙන එන්නම්,මම හිනම් ලාගෙන එන්නම්,0.5,0.1579,1,2,short,2.539,2.048,0,0.0,0.0802,0.00285,9.277
S001,009,S001_009.wav,S001_009_mel.npy,අපි අද පොල් කැඩුවා,අපි අද පොල් කැඩුව,0.25,0.0667,0,1,short,2.411,1.696,0,0.0,0.0879,0.002617,8.844
S001,010,S001_010.wav,S001_010_mel.npy,"ඇයි හිනා වෙන්නේ, මට රජ වෙන්න බැරිද",ඇයි ඉනා වෙන්නේ මට රජ වෙන්න බැරිද?,0.1429,0.0741,0,1,long,4.139,2.976,1,0.48,0.082,0.002282,9.409
S001,011,S001_011.wav,S001_011_mel.npy,දුව සටහන් පොතේ මොනවාද ලියා ගත්තේ,දුව සටහන් පොතේ මොනවාද රියා ගත්තේ,0.1667,0.037,0,1,long,4.075,3.776,1,0.256,0.0837,0.004245,7.15
S001,012,S001_012.wav,S001_012_mel.npy,ඉතින් මෙච්චර පරක්කු වුනේ ඇයි,ඉතින් මෙච්චර පරක්වුණේ ඇයි,0.4,0.0833,0,1,short,2.731,2.475,0,0.0,0.0876,0.004274,9.698
S001,013,S001_013.wav,S001_013_mel.npy,දවසක් අම්මා අශ්ව පැටියාගෙන් උදව්වක් ඉල්ලුවා,දවසක් අම්මාශ්‍ය පැටියාගෙන් උදව්වක් ඉල්ලුවා.,0.3333,0.0789,0,1,long,4.245,3.872,0,0.0,0.1005,0.002328,9.814
S001,014,S001_014.wav,S001_014_mel.npy,ඔය ගඟ හරි ගැඹුරුයි,ඔයේ ගංග හරි කැඹුරුයුයි,0.75,0.4,2,2,short,1.984,1.76,0,0.0,0.0792,0.002726,8.523
S001,015,S001_015.wav,S001_015_mel.npy,අශ්ව පැටියා ඉක්මනින් ගෙදර එනවා දැකලා අම්මා පුදුම වුනා,අශ්ව පැටියා ඉක්මනින් ගෙදරෙ නවාද එකලා අම්මා පුදුම වුන්නා.,0.4444,0.0889,0,2,long,5.269,4.544,0,0.0,0.0937,0.002653,9.903
S001,016,S001_016.wav,S001_016_mel.npy,"සිටුතුමනි, අපට අනුකම්පා කරනු මැනවි",සිටුතුමනි අපට අනුකම්පා කරනු මැනවි.,0.0,0.0,0,0,short,4.267,3.488,0,0.0,0.0981,0.001921,8.601
S001,017,S001_017.wav,S001_017_mel.npy,බරෙන් වැඩි වන්නේ ගසක මුල කොටසද,බරින් වැඩි වන්නේ ගසක මුල කොටසිද,0.3333,0.08,0,1,long,3.797,2.912,0,0.0,0.0872,0.003348,8.585
