student_id,sentence_id,audio_file,mel_file,ground_truth,transcript,wer,cer,fluency_label,fluency_label_wer,length_class,duration_s,speech_duration_s,hesitation_count,mean_pause_s,zcr,energy_variance,chars_per_sec,cluster_label,length_class_enc
S001,1,S001_001.wav,S001_001_mel.npy,යාළුවෝ හැමදෙනාම නිදහස් උත්සවය බැලුවා,යාළුවෝ හැමදෙනාම නිදාස් උත්සවය බැලුවා,0.2,0.0312,0,1,short,3.541,3.328,0,0.0,0.0808,0.003633,9.615,2,0
S001,2,S001_002.wav,S001_002_mel.npy,කවිඳු යාළුවොත් එක්ක මිදුලේ සෙල්ලම් කරමින් සිටියා,කවිඳු යාලුවත් එක්ක මිදුලේ සෙල්ලම් කරමින් සිටියා.,0.1429,0.0238,0,1,long,3.925,3.456,0,0.0,0.0849,0.003386,12.153,2,1
S001,3,S001_003.wav,S001_003_mel.npy,අපේ රටේ නිදහස් උත්සවය,අපේ රටේ නිදහස් උත්සවය,0.0,0.0,0,0,short,2.816,2.176,1,0.352,0.106,0.00408,8.272,2,0
S001,4,S001_004.wav,S001_004_mel.npy,මම කෝෂය ඇතුලේ සති දෙකක් විතර හිටියා,මම කෝෂයේ ඇතුළ සති දෙකක් විතර හිටියා.,0.2857,0.069,0,1,long,3.925,3.392,1,0.16,0.0996,0.004475,8.55,2,1
S001,5,S001_005.wav,S001_005_mel.npy,පොත් කියවීමෙන් මිනිසා සම්පූර්ණ වේ,පොත් කියවීමෙන් මිනිසා සම්පූර්ණ වේ.,0.0,0.0,0,0,short,3.648,3.264,1,0.16,0.0768,0.003699,8.885,2,0
S001,6,S001_006.wav,S001_006_mel.npy,මුහුද හරිම ලස්සනයි,මුහුද හරිම ලස්සු නැයි,0.6667,0.125,1,2,short,2.005,1.568,0,0.0,0.0844,0.00311,10.204,2,0
S001,7,S001_007.wav,S001_007_mel.npy,හැමෝම එකට අත් අල්ලා ගන්න,හැමෝම එකට අත් අල්ලා ගන්න,0.0,0.0,0,0,short,3.2,2.848,1,0.224,0.0792,0.003848,7.022,2,0
S001,8,S001_008.wav,S001_008_mel.npy,මම එහෙනම් නාගෙන එන්නම්,මම හිනම් ලාගෙන එන්නම්,0.5,0.1579,1,2,short,2.539,2.048,0,0.0,0.0802,0.00285,9.277,2,0
S001,9,S001_009.wav,S001_009_mel.npy,අපි අද පොල් කැඩුවා,අපි අද පොල් කැඩුව,0.25,0.0667,0,1,short,2.411,1.696,0,0.0,0.0879,0.002617,8.844,2,0
S001,10,S001_010.wav,S001_010_mel.npy,"ඇයි හිනා වෙන්නේ, මට රජ වෙන්න බැරිද",ඇයි ඉනා වෙන්නේ මට රජ වෙන්න බැරිද?,0.1429,0.0741,0,1,long,4.139,2.976,1,0.48,0.082,0.002282,9.409,2,1
S001,11,S001_011.wav,S001_011_mel.npy,දුව සටහන් පොතේ මොනවාද ලියා ගත්තේ,දුව සටහන් පොතේ මොනවාද රියා ගත්තේ,0.1667,0.037,0,1,long,4.075,3.776,1,0.256,0.0837,0.004245,7.15,2,1
S001,12,S001_012.wav,S001_012_mel.npy,ඉතින් මෙච්චර පරක්කු වුනේ ඇයි,ඉතින් මෙච්චර පරක්වුණේ ඇයි,0.4,0.0833,0,1,short,2.731,2.475,0,0.0,0.0876,0.004274,9.698,2,0
