sentence_id,text,word_count,length_class
001,යාළුවෝ හැමදෙනාම නිදහස් උත්සවය බැලුවා,5,short
002,කවිඳු යාළුවොත් එක්ක මිදුලේ සෙල්ලම් කරමින් සිටියා,7,long
003,අපේ රටේ නිදහස් උත්සවය,4,short
004,මම කෝෂය ඇතුලේ සති දෙකක් විතර හිටියා,7,long
005,පොත් කියවීමෙන් මිනිසා සම්පූර්ණ වේ,5,short
006,මුහුද හරිම ලස්සනයි,3,short
007,හැමෝම එකට අත් අල්ලා ගන්න,5,short
008,මම එහෙනම් නාගෙන එන්නම්,4,short
009,අපි අද පොල් කැඩුවා,4,short
010,"ඇයි හිනා වෙන්නේ, මට රජ වෙන්න බැරිද",7,long
011,දුව සටහන් පොතේ මොනවාද ලියා ගත්තේ,6,long
012,ඉතින් මෙච්චර පරක්කු වුනේ ඇයි,5,short
013,දවසක් අම්මා අශ්ව පැටියාගෙන් උදව්වක් ඉල්ලුවා,6,long
014,ඔය ගඟ හරි ගැඹුරුයි,4,short
015,අශ්ව පැටියා ඉක්මනින් ගෙදර එනවා දැකලා අම්මා පුදුම වුනා,9,long
016,"සිටුතුමනි, අපට අනුකම්පා කරනු මැනවි",5,short
017,බරෙන් වැඩි වන්නේ ගසක මුල කොටසද,6,long
018,රයිට් සහෝදරයන්ගේ පියා ඔවුන් පුංචිකාලයේ දී කඩදාසි සහ රබර් පටිවලින් සෙල්ලම් අහස් යානා තනා දුන්නේය,15,long
019,පසු කලෙක ඔවුහු බයිසිකල් වැඩ වැඩපොළක් ඇරඹූහ,7,long
020,දැන් හැමෝම වාඩිවෙන්න,3,short
021,අපි ඊළඟ දවසේ තවත් සෙල්ලමක් කරමු,6,long
022,මේ සිහින අප නින්දේ දී දකින සිහින නම් නොවේ,9,long
023,ඇගේ ගම ගිංතොට ය,4,short
024,මේ පුංචි දැරිය ඇගේ ප්‍රියතම වැඩිහිටි නෑදෑයා ගැන පසු කලෙක එසේ කීවාය,12,long
025,පින්තූර මගින් කතා කීම ඈත කාලයේ සිට පැවත එන ක්‍රමයකි,10,long
026,මකුළුවා තණ බිස්සේ හැංගුනා,4,short
027,එළියේ ලස්සන ගැහැණු ළමයෙක් හිටගෙන හිටියා,6,long
028,අතරමගදී ඉතාම භයානක දෙයක් සිදුවුණා,5,short
029,සර්පයා මහා විශාලෙට කට ඇරියා,5,short
030,ටිකක් හිතලා බලන්නකෝ,3,short
031,තනියෙන් ලියන්න,2,short
032,පස්වැනි ගුණාංගය,2,short
033,බරණැස් නුවර සිටුවරයෙක් වාසය කළේය,5,short
034,නායකතුමා මෙසේ පිළිතුරු දුන්නේය,4,short
035,තේරවිලි වර්ග කිහිපයක් තිබේ,4,short
036,අපේ සීයා කතන්දර කීමට සමතෙකි,5,short
037,මේ අය අතරමගදී අම්බලමක නතර වුණා,6,long
038,හරි අපූරු කතාවක්,3,short
039,කටුස්සාගේ කරේ රත්තරන් බැන්දා වගෙයි,5,short
040,මුල් ගුරුතුමා කීවේය,3,short
041,අද පුස්තකාල පන්තියක් කරමු,4,short
042,මම ගල්පරයක ඇලී ජීවත් වුනෙමි,5,short
043,බෙලි කටුව කතා කරයි,4,short
044,සති අන්තේ නිවාඩුවට බිංදුලා ගමේ ගියා,6,long
045,මොනවාද ඒවායේ නම්,3,short
046,නංගි උත්තර දුන්නා,3,short
047,පාර කියන අත්තම්මා,3,short
048,ඇයගේ කැපවීම පුදුමාකාරය,3,short
049,මිනිසාගේ පරම යුතුකම මිනිසාට සේවය කිරීම,6,long
050,අපි මේ වන විට පැය දොළහක් වැඩ කර පැය දොළහක් විවේක ගත්තා,12,long
051,අප කවුරුත් පුදුමයට පත්කරමින් ඈට පණ ආවා,7,long
052,සුගන්ධවත් පුෂ්පයෝ අපගේ සොහොයුරියෝය,4,short
053,ගංගාවෝ අපගේ සොහොයුරෝ වෙති,4,short
054,නංගී මට නොදී කිසිවක් නොකනවා ඇතැයි මට සිතේ,8,long
055,නංගි උදේ පාන්දරින්ම නැගිටියි,4,short
056,ඈ මා ගෙදර යන විට අසනු ඇත,7,long
057,ගොවිතැන සඳහා භාවිත වන උපකරණ එකින් එක විස්තර කරද්දී ළමයි සාවධානව අසා සිටියහ,13,long
058,ළමයි පොල්තෙල් හිඳීමට භාවිත කරන සෙක්කුව අසලට රැස් වූහ,9,long
059,ඒ ගොල්ලන්ට අලුත් ක්‍රමයක් හොයා ගන්න වෙනවා,7,long
060,බොහෝ දෙනෙක් මම එනතුරු බලා ගෙන හිටියා,7,long
061,මට ආරංචි වුණා රජතුමාගේ ගුහාව ළඟ අනතුරක් කියලා,8,long
062,පැය අටකට පසු ඔවුන්ට පියාපත් සලන හඬක් ඇසිණි,8,long
063,මිනිසුන් ගැන විස්තර දැනගන්න බොහෝ ක්‍රම තියෙනවා,7,long
064,ඔබට දින හතරක් දෙමි,4,short
065,ඇදුරුතුමා බෙහෙවින් සතුටට පත් විය,5,short
066,ඔබට පේන්නේ කුමක්දැයි මම ඇසුවෙමි,5,short
067,මෙතැන තමයි හොඳම තැන,4,short
068,ඇය කාචය සකස් කර නැවත බැලූවාය,6,long
