child_id,spacing_std,baseline_std,local_baseline_drift,avg_slant,avg_size_variation,curve_smoothness,loop_roundness,stroke_continuity,stroke_thickness_consistency,density_distribution,contrast_score,blur_score,ink_density,text_visibility_score,word_detection_ratio,spacing_score,alignment_score,slant_score,size_score,curve_score,loop_score,continuity_score,thickness_score,density_score,contrast_quality_score,blur_quality_score,ink_density_score,text_visibility_quality_score,word_detection_score,overall_score,label,teacher_spacing_rating,teacher_alignment_rating,teacher_size_rating,teacher_slant_rating,teacher_curve_rating,teacher_loop_rating,teacher_stroke_continuity_rating,teacher_legibility_rating,teacher_overall_rating,teacher_overall_label,teacher_vs_system_score_difference
001,0,0.589311695,0,0.2557013375418527,0.1793313462510364,0.2346413937426328,0.3447250047231009,0.7057109181302547,0.587467401,75.65090083,22.20373148490383,574.0116858535351,20.204664082292968,101.71585798933084,0.3822507452967451,5,1,5,4,1,2,4,2,5,1,5,5,5,1,3.38,Above Average,4,2,4,4,2,4,3,3,4,Good,0.62
002,0,0.7947040716575279,0,0.5966364542643229,0,0.2256774505366807,0.3987694234284287,0.833064949,0.2584903261655303,49.22290739021077,23.760098314355435,627.3527190979103,22.84849396667252,110.42553105719526,0.2623125294283175,5,1,5,5,1,2,4,4,5,1,5,5,5,1,3.61,Good,5,3,5,5,3,4,4,4,5,Very Good,1.39
003,0,0.7582517894916315,196.5,9.190992391109466,0.8408997843968654,0.2081220008923965,0.4591857305847928,0.4921945025824984,0.5955405231860359,2003.8674896724117,29.04658978859366,1014.334265722318,18.81149334065912,100.9577749162742,17.907725649400202,5,1,5,1,1,3,2,2,1,2,5,5,5,5,2.99,Average,4,2,3,3,2,3,2,4,3,Average,0.01
004,0,0.9874388356027088,0,12.643789812922478,0.5314201797141386,0.1424447447825555,0.2186583149880828,0.674657142,0.2912040472654444,94.20817360532536,29.891777401309422,1052.5118264741448,19.724486260780772,104.11934748299704,0.5694436846999616,5,1,4,2,1,1,3,4,5,2,5,5,5,1,3.09,Above Average,3,2,3,4,3,2,3,3,3,Average,-0.09
005,0,0,0,0,0,0,0,0,0,0,30.44836583966413,1163.1016940999305,20.6660589,107.22235960557396,0,5,5,5,5,5,1,1,5,5,2,5,5,5,1,4.17,Very Good,4,5,5,5,4,3,3,4,5,Very Good,0.83
006,0,0.4914321800848055,3.5,6.439598815781729,0.719479061,0.1666022135993349,0.2663424999192557,0.5727100023330406,0.4824780388060233,170.02095837589383,16.55240494984456,171.77089210903156,13.756171536947868,66.72180629666904,2.173830140998327,5,1,5,1,1,1,3,3,4,1,4,5,4,3,2.92,Average,3,3,3,4,2,2,4,3,3,Average,0.08
007,0.4609306409130816,0.6306175962215518,143.4235639419819,0.8990574433253362,1.931336549099778,0.2058249322985275,0.4619307917750149,0.5134808680327105,0.941894838,2126.143536275523,26.27896972472129,571.8811218598121,17.129551906229967,94.52814058105056,43.51413774508308,3,1,5,1,1,3,2,1,1,2,5,5,5,5,2.71,Average,3,2,2,4,1,3,2,4,3,Average,0.29
008,0.4609306409130816,0.5394516367936677,147.34677844393403,0.8117440905835893,1.543139124821135,0.1928953482304859,0.4483478980622847,0.3758233718148587,0.9365580460219426,1891.7736130850608,24.916005811914093,541.5012483726463,15.309301693687166,88.38590798701854,80.52274854330828,3,1,5,1,1,2,1,1,1,1,5,5,5,5,2.54,Average,3,2,2,4,2,3,2,3,2,Below Average,-0.54
009,0,0.2217786972770833,76.83893688893816,0.9173812866210938,1.1176273495857658,0.2080462488962324,0.46767414,0.3407593137694522,0.679708985,2557.2950119113298,27.17283622552176,760.9333309741604,16.570727491589246,93.29860058752864,89.89243495169605,5,3,5,1,1,3,1,2,1,2,5,5,5,5,3.15,Above Average,4,3,2,4,3,3,3,3,3,Average,-0.15
010,0,0.8113899974457791,18.567565673326705,8.484798976353236,0.5305659533162479,0.1979540984964462,0.3991526601423465,0.7191941215498309,0.6614200443020807,785.7344749953326,26.760822425241543,557.9899611825596,19.432023024436997,101.67648028593176,9.383906854673564,5,1,5,2,1,2,4,2,1,2,5,5,5,5,3.16,Above Average,4,3,3,4,3,3,4,4,4,Good,0.84
