image_path,ground_truth
image01/line_010.png,උපදෙස් කියවා ප්‍රතිචාර දක්වමු.
image01/line_015.png,පහත සඳහන් වාක්‍යවලට සුදුසු විරාම
image01/line_020.png,ලකුනු යොදා වාක්‍ය නැවත ලියන්න
image01/line_022.png,මම පාසල් යමි
image01/line_023.png,පුතේ මෙහාට එන්න යැයි
image02/line_001.png,"යම් අවස්ථාවක්, සිද්ධියක් දෙස බලා සිට"
image02/line_002.png,පිළිබඳ ව විස්තර කර දීම විස්තර කථන
image02/line_003.png,"උදා: ක්‍රිකට්,ෆුට්බෝල් වැනි ක්‍රීඩා පැවැත්වෙන"
image02/line_007.png,පාසලේ පැවැත්වෙන ක්‍රීඩා උත්සවයක්
image02/line_009.png,ගොඩනැගිල්ලක් විවෘත කිරීමක්
image02/line_014.png,පොළක
image02/line_017.png,පෙරහැරක්
image03/line_007.png,පරිප්පු
image03/line_011.png,සාක්කුව
image03/line_018.png,ආභරණ
image03/line_022.png,අරුතිනි
image03/line_026.png,අනුසාරයෙනි
image03/line_028.png,දකුණු පළාත්
image03/line_030.png,පියාසර
image03/line_032.png,අවුළුවන්ට
image03/line_034.png,ව්‍යහාරයේ
image03/line_036.png,අවස්ථා
image04/line_001.png,නෙළුම් මල් සියපත්
image04/line_013.png,නෙළුම් මල් සියපත්
image05/line_006.png,පැමිණීම නොපැමිණීම
image05/line_008.png,අවශ්‍ය අනවශ්‍ය
image05/line_014.png,පුහුණු නුපුහුණු
image05/line_022.png,නිවැරදි  වැරදි
image05/line_024.png,අලුත් පරණ
image06/line_002.png,ඇඟ බේරගන්න වගකීමෙන් බේරීම.
image06/line_004.png,හීන් දාඩිය දැම්මා දැඩි සේ බියට පත් වීම.
image06/line_005.png,අහස් මාලිග ඉටු නොවන සිහින මැවීම .
image06/line_007.png,අබමල් රේණුවක් ඉතාම කුඩා ප්‍රමාණ්‍යක් .
image06/line_008.png,මුරුංගා අත්තේ තියනවා රවටනු පිණිස
image07/line_007.png,කර උස්සා අප දෙස බලා සිටින මිනිසුන් මෙන්
image07/line_012.png,හෙලිකොප්ටර් යානා පරිද්දෙනි .
image07/line_014.png,ගඟ දෙපස සිටින මුරකරුවන් වැන්න.
image07/line_015.png,ගඟ හා රහස් කොඳුරන ලෙසිනි .
image07/line_017.png,අඬු විහිඳාගත් දැවැන්ත සතෙකු මෙනි.
image08/line_002.png,විස්තර කථන
image08/line_005.png,"යම් අවස්ථාවක්, සිද්ධියක් දෙස බලා සිට ඒ"
image08/line_010.png,පිළිබඳ විස්තර කර දීම විස්තර කථනයක්
image08/line_012.png,ලෙසින් හඳුන්වයි .
image08/line_014.png,"උදා:-ක්‍රිකට්,ෆුට්බෝල් වැනි ක්‍රීඩා පැවැත්වෙ"
image08/line_015.png,පාසලේ පැවැත්වෙන ක්‍රීඩා උත්සවයක්
image08/line_016.png,ගොඩනැගිල්ලක් විවෘත කිරීමක්
image08/line_020.png,පොළක්
image08/line_024.png,පෙරහැරක
image09/line_006.png,කර උස්සා අප දෙස බලා සිටින මිනිසුන් මෙනි
image09/line_016.png,හෙලිකොප්ටර් යානා පරිද්දෙනි .
